,sigma2,predicted_mean,lower_conf_mean
2881,7.725104510086028e-06,0.005110114539263326,-0.006979674357632574
2882,4.482106285287273e-06,0.005096601961997767,-0.005400214764375217
2885,8.838951897204818e-06,0.003293478972094559,-0.008457022918975734
2886,4.695729314852101e-06,9.35020661504715e-05,-0.028832471852679606
2888,4.943854219650756e-06,0.006949839683503869,-0.0035432178777551108
2889,3.696394888930431e-06,0.004797640626693755,-0.010498287313170122
2891,6.335879177984623e-06,0.0034186427305912884,-0.02749641362900719
2892,7.360579628708247e-06,0.005046593474773463,-0.00939078020282239
2893,5.913162737607343e-06,0.009514979280582519,-0.0032602160266073945
2895,1.1559977763421151e-05,0.007165032103637408,-0.007370658648351358
2896,1.5169052318281313e-05,0.003998734406179433,-0.009208434752598412
2898,4.660093086627992e-06,0.0020876403739748524,-0.01280904566759272
2904,9.96655354378714e-06,0.0066730597041794616,-0.007111834602600617
2905,9.477755929005414e-06,0.007837345681852983,-0.0031664117931037667
2907,2.9599955645971295e-05,0.011341067815967035,-0.010249636068438112
2908,1.4929065394928061e-05,0.00673059795467097,-0.009800216914138698
2909,1.227400167330853e-05,0.00938605863111774,-0.004618833485378597
2910,4.968520319580078e-06,0.0087565155825473,-0.00465758092603897
2911,8.38340113499926e-06,0.006637711583173026,-0.005112675252227721
2914,1.0942214156663133e-05,0.006430695430962702,-0.009593183581600502
2915,7.201439675440215e-06,0.005930624348893714,-0.006664224476428001
2916,1.274525062578685e-05,0.004864167337098534,-0.008867963825472445
2917,6.3919518433130726e-06,0.005049068208655501,-0.006672912896952463
2919,1.0034686790364709e-05,0.005266224111403168,-0.010302700654405608
2920,7.87994652492147e-06,0.006180967859078312,-0.004600131680888371
2921,8.676548314672229e-06,0.004930868783289865,-0.00781377584915249
3031,3.3523378150597236e-06,0.003864060939155356,-0.003815529022983459
3032,5.643644498007226e-06,0.004081333973627226,-0.0073390281791475736
3033,4.655013457870135e-06,0.0034159734143079726,-0.006102245586207838
3034,3.5648485256392366e-06,0.005586210791320026,-0.0022242364125122246
3036,4.235337112394436e-06,0.004992899165129102,-0.0034308935599185165
3037,5.142067799064013e-06,0.0050969793498622335,-0.0019542743481747718
3038,2.5648510041221383e-06,0.007119486399322403,-0.006616638863824222
3042,3.036107014773222e-06,0.005519116551198599,-0.0018094623883773285
3043,5.715123806018129e-06,0.004510561925525105,-0.003777201660141469
3044,3.2778273656299514e-06,0.004978021461289308,-0.0014057616328435102
3045,2.8083147457533603e-06,0.004157330614709591,-0.0024549744431024024
3046,4.460301346480609e-06,0.004265066980658954,-0.004027092887344366
3047,9.64330630177744e-06,0.004433831909154477,-0.011011936121216316
3048,7.4675239637428384e-06,0.004971038279058189,-0.004461854904440866
3049,8.44268830253963e-06,0.0037080060714893863,-0.008262918906895787
3051,3.4788859070733895e-06,0.004633246303500683,-0.011444754365375946
3052,3.743203352708251e-06,0.004641133961014827,-0.003696161530570301
3053,2.536242750362057e-06,0.00483319025482386,-0.0022272226215353506
3054,4.368530019144795e-06,0.004668938529983912,-0.0025735830729304667
3055,3.480838487506896e-06,0.004102839472830668,-0.0026003364379466407
3057,3.8098065608560572e-06,0.0036383379942403643,-0.004523730825677367
3060,3.87983185564012e-06,0.005053170666273218,-0.0037113159750357333
3062,3.0644504087693123e-06,0.004239269685266727,-0.00445127559111215
3063,4.5876104545388205e-06,0.003809731364897405,-0.006165693162989772
3064,2.7979165446907467e-06,0.003969718702554439,-0.002993203980326158
3070,3.3599381182997936e-06,0.003954162476405943,-0.0034368604179926543
3071,8.703219719445234e-06,0.00583681310624928,-0.0071517453492354385
3076,4.060268269301527e-06,0.0047055133990215655,-0.003709449183143428
3077,4.284780629749545e-06,0.005434016269395212,-0.002213182261583573
3079,3.7205917313834164e-06,0.0061976415178396395,-0.0030283652256331375
3082,4.49786027486131e-06,0.004294436648885239,-0.0028415752559887804
3084,7.030301761224479e-06,0.004260151548598408,-0.005743184880199542
3086,4.369945286841776e-06,0.0061802105145746045,-0.0040207244858988965
3087,2.6710068927416086e-06,0.003577165246525549,-0.0029216624302145456
3102,2.9644071969165674e-06,0.005178866883956332,-0.002743564741418079
3103,4.55749558773703e-06,0.004905090588109705,-0.025043819439283046
3104,3.1892372126218723e-06,0.0036389415156336696,-0.004703082319706243
3106,3.909193887673044e-06,0.0040310244411173495,-0.0030932506359970377
3109,4.895569560807738e-06,0.004229393548221808,-0.005097954112947931
3110,4.234467299958751e-06,0.003942752695987749,-0.007675681725471213
3216,1.765632397464471e-05,0.0054644138940370636,-0.06414962742526202
3217,1.0268720516136218e-05,-8.352319331475062e-05,-0.015534016560255869
3220,1.0423681743597146e-05,0.0067817227164523155,-0.008314627317205519
3221,1.054647268893335e-05,0.005010900293665212,-0.018149706855217294
3222,8.212496927869632e-06,0.0038357039307021037,-0.010808266720631805
3223,8.97148942306727e-06,0.002487497558663903,-0.00951174848373742
3224,5.800540740087941e-06,0.001753302501856384,-0.013598371444671868
3225,2.4722449610327933e-05,0.005837580063842343,-0.05619195535444358
3226,3.3616038278672486e-05,0.004804806950820908,-0.022124160438380888
3227,1.9304436535593288e-05,0.0018606919811723103,-0.019233062115358603
3229,3.556927033457255e-06,0.005159923327668365,-0.010178491493401618
3230,4.481831023731513e-05,-0.0012528800008782073,-0.029322823391592846
3234,1.013205588436253e-05,0.0041548012757364515,-0.005985309042910627
3235,8.592813454937934e-06,0.004192130047527034,-0.01640796757459683
3237,9.905783744772922e-06,0.004412417414128316,-0.00878076081621318
3240,2.350317607136149e-05,0.004802410193726796,-0.01429775083403616
